time,hr,dist,speed
816,152,2346.22,3
817,152,2349.19,2.9699999999998
818,152,2352.18,2.99000000000024
819,151,2355.16,2.98000000000002
820,151,2358.13,2.9699999999998
821,151,2361.1,2.9699999999998
822,151,2364.04,2.94000000000005
823,147,2366.98,2.94000000000051
824,147,2369.93,2.94999999999982
825,147,2372.88,2.94999999999982
826,147,2375.83,2.94999999999982
826,147,2375.83,
827,147,2378.8,2.97000000000025
828,147,2381.75,2.95000000000027
829,144,2384.7,2.94999999999936
830,144,2387.64,2.94000000000051
831,144,2390.54,2.89999999999964
832,144,2393.42,2.88000000000056
833,144,2396.29,2.86999999999944
834,142,2399.15,2.86000000000013
835,142,2402.02,2.87000000000035
836,142,2404.89,2.86999999999989
837,142,2407.76,2.86999999999989
838,142,2410.66,2.89999999999964
839,146,2413.55,2.89000000000033
840,146,2416.44,2.88999999999987
841,146,2419.36,2.92000000000007
842,146,2422.27,2.90999999999985
843,146,2425.19,2.92000000000007
844,146,2428.13,2.94000000000051
845,154,2431.07,2.9399999999996
846,154,2434,2.92999999999984
847,154,2436.96,2.96000000000004
848,154,2439.91,2.95000000000027
849,158,2442.86,2.94999999999982
850,158,2445.82,2.96000000000004
851,158,2448.76,2.94000000000005
852,158,2451.7,2.94000000000005
853,158,2454.62,2.92000000000007
854,156,2457.52,2.89999999999964
855,156,2460.42,2.90000000000009
856,156,2463.3,2.88000000000011
857,156,2466.18,2.87999999999965
858,156,2469.04,2.86000000000013
859,149,2471.88,2.84000000000015
860,149,2474.68,2.80000000000018
861,149,2477.46,2.77999999999975
862,149,2479.94,2.48000000000002
863,149,2482.21,2.26999999999998
864,149,2484.23,2.01999999999998
865,136,2486.04,1.80999999999995
